No.,Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
1,100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1,TRUE,8.13,5,Allowed_With_Citation,6,2.393,86.44,High
2,100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5,FALSE,16.65,3,Allowed_With_Citation,9,3.696,69.39,Low
3,100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2,FALSE,10.35,5,Strict_Ban,9,3.499,73.93,Medium
4,100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4,FALSE,15.23,2,Allowed_With_Citation,2,4,63.58,Medium
5,100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4,FALSE,12.55,4,Allowed_With_Citation,4,3.798,100,Medium
6,100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1,FALSE,14.19,4,Allowed_With_Citation,5,3.666,65.92,High
7,100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5,TRUE,13.11,8,Allowed_With_Citation,7,4,67.97,Medium
8,100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3,FALSE,18.45,2,Actively_Encouraged,1,2.965,85.09,Medium
9,100009,Business,Sophomore,3.42,2,Debugging/Troubleshooting,Beginner,2,TRUE,2.87,1,Strict_Ban,5,3.396,55.71,Medium
10,100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2,TRUE,12.49,3,Strict_Ban,8,2.978,87.18,High
11,100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,Advanced,3,FALSE,11.43,5,Allowed_With_Citation,3,3.617,95.42,High
12,100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,Intermediate,3,FALSE,8.05,3,Actively_Encouraged,3,2.699,72.41,Medium
13,100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,Beginner,2,FALSE,8.95,2,Actively_Encouraged,4,3.612,67.68,High
14,100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,Beginner,1,FALSE,25.3,2,Allowed_With_Citation,3,3.935,64.47,Medium
